episod#,reward
1,-6.28506567755
2,-6.25150074995
3,-6.23156338287
4,10.0871695041
5,2.03262844777
6,4.36781731914
7,-27.0655463675
8,-171.776708767
9,-171.386583608
10,-171.899319716
11,-172.534633109
12,-171.521819507
13,-171.569866547
14,-171.904208468
15,-171.914933836
16,17.3405963973
17,19.066033915
18,13.7252524187
19,17.7344428677
20,17.3133352094
21,15.2607464411
22,15.1827099135
23,15.2841586115
24,16.5184201124
25,19.3855253295
26,17.685532485
27,19.7015857671
28,15.9242264065
29,17.8870226328
30,18.5061248773
